fecha_utc,evento,activo,cantidad,contravalor_moneda,contravalor_importe,comision,plataforma
2021-03-09 07:06:47,DEPOSIT,EUR,250.0000,,,,Kraken
2021-03-29 06:25:59,DEPOSIT,EUR,430.0000,,,,Kraken
2021-05-12 05:35:22,WITHDRAW,EUR,1795.44,,,,Kraken
2021-05-12 16:53:32,DEPOSIT,EUR,1500.0,,,,Binance
2021-05-12 21:35:56,CONVERT,EUR->USDT,1500.0,USDT,1803.195,,Binance
2021-05-19 20:13:20,DEPOSIT,EUR,108.02,,,,Binance
2021-05-19 20:15:29,CONVERT,EUR->USDT,108.02,USDT,130.6350672,,Binance
2021-05-25 06:17:48,DEPOSIT,EUR,1000.0000,,,,Kraken
2021-10-07 00:49:41,WITHDRAW,USDT,208.276105,,,,Binance
2021-11-22 11:53:46,CONVERT,USDT->EUR,233.96653424,EUR,207.56987344,,Binance
2021-11-22 12:00:36,WITHDRAW,EUR,207.56,,,,Binance
2022-01-09 17:54:33,DEPOSIT,EUR,540.1,,,,Binance
2022-01-09 20:22:58,CONVERT,EUR->USDT,540.10987344,USDT,611.30715696,,Binance
2022-09-16 06:49:48,TRANSFER,ETHW,0.0500000,,,,Kraken
2022-09-19 15:46:24,AIRDROP,ETHW,0.036963,,,,Binance
2025-04-07 18:00:45,CONVERT,USDT->USDC,200.96689716,USDC,200.96689716,,Binance
2025-04-08 08:03:00,DEPOSIT,EUR,999.0,,,,Binance
2025-05-08 08:40:07,TRANSFER BETWEEN SPOT AND FUNDING,EUR,-999,,,,Binance
2025-05-08 08:40:08,TRANSFER BETWEEN SPOT AND FUNDING,EUR,999,,,,Binance
2025-05-16 18:53:59,"OTHER:Transaction Fee,Transaction Revenue,Transaction Sold,Transfer Between Spot and Funding",,,,,USDC:-1.05752642,Binance
2025-05-16 18:54:00,TRANSFER BETWEEN SPOT AND FUNDING,EUR,-999,,,,Binance
2025-05-27 07:16:21,ASSET RECOVERY,EOS,-120.04888,,,,Binance
2025-05-28 08:22:54,TOKEN SWAP - DISTRIBUTION,A,120.04888,,,,Binance
2025-07-22 20:16:38,TRANSFER,EOS,-50.0000000000,,,,Kraken
2025-07-22 20:38:18,TRANSFER,A,50.0000000000,,,,Kraken
2026-03-05 19:24:34,TRANSFER,ETHW,-0.0500000,,,,Kraken
2026-03-09 18:30:10,TRANSFER,USDC,0.01517500,,,,Kraken
