fecha_utc,operacion,activo,cantidad,contravalor_moneda,contravalor_importe,comision,plataforma
2021-03-15 09:28:55,BUY,ETH,0.1331900000,EUR,200.0,,Kraken
2021-03-15 09:29:31,BUY,DOT,1.6955826200,EUR,50.0,,Kraken
2021-03-31 20:49:23,SELL,DOT,1.69558262,EUR,52.4400,,Kraken
2021-03-31 20:50:42,SELL,ETH,0.13319,EUR,215.2400,,Kraken
2021-04-07 10:23:21,BUY,DOT,2.8732124400,EUR,100.0,,Kraken
2021-04-07 22:01:37,BUY,TRX,1075.89839100,EUR,100.0,,Kraken
2021-04-08 07:33:43,SELL,TRX,1075.898391,EUR,108.3100,,Kraken
2021-04-09 18:46:53,BUY,TRX,3953.14143700,EUR,394.09,EUR:5.91,Kraken
2021-04-10 00:04:29,BUY,TRX,2032.30676700,EUR,197.04,EUR:2.96,Kraken
2021-04-11 00:06:52,SELL,TRX,5985.448204,EUR,628.5100,EUR:9.29,Kraken
2021-04-12 06:09:10,BUY,XLM,816.03514000,EUR,394.09,EUR:5.91,Kraken
2021-04-13 07:40:03,SELL,XLM,816.03514,EUR,431.7000,EUR:6.38,Kraken
2021-04-13 19:39:10,SELL,DOT,2.87321244,EUR,102.4800,EUR:1.52,Kraken
2021-04-14 13:58:55,BUY,EOS,95.6371100000,EUR,591.13,EUR:8.87,Kraken
2021-04-14 17:49:47,BUY,TRX,1289.44464900,EUR,147.78,EUR:2.22,Kraken
2021-04-15 22:22:49,SELL,TRX,1289.444649,EUR,174.0900,EUR:2.58,Kraken
2021-04-15 22:25:07,BUY,DOGE,1123.36000000,EUR,170.44,EUR:2.56,Kraken
2021-04-17 09:03:38,SELL,EOS,50.0,EUR,362.1500,EUR:5.36,Kraken
2021-04-17 09:04:23,BUY,DOGE,1347.70000000,EUR,351.52,EUR:5.27,Kraken
2021-04-17 11:09:50,SELL,EOS,45.63711,EUR,317.0700,EUR:4.69,Kraken
2021-04-17 11:10:16,BUY,DOGE,1293.75000000,EUR,307.77,EUR:4.61,Kraken
2021-04-18 10:51:01,SELL,DOGE,941.2,EUR,249.3200,EUR:3.69,Kraken
2021-04-18 10:51:35,BUY,ETH,0.1338600000,EUR,242.01,EUR:3.62,Kraken
2021-04-22 05:00:22,SELL,ETH,0.13386,EUR,272.7400,EUR:4.04,Kraken
2021-04-22 05:00:49,BUY,DOGE,1124.63000000,EUR,264.73,EUR:3.97,Kraken
2021-05-01 18:11:07,SELL,DOGE,3500.0,EUR,1071.0700,EUR:15.83,Kraken
2021-05-04 08:17:08,BUY,DOGE,494.13000000,EUR,197.05,EUR:2.95,Kraken
2021-05-08 08:15:42,SELL,DOGE,942.37,EUR,542.8500,EUR:8.03,Kraken
2021-05-08 08:20:09,BUY,EOS,67.7555100000,EUR,591.13,EUR:8.87,Kraken
2021-05-10 20:52:21,BUY,EOS,79.4199900000,EUR,591.12,EUR:8.88,Kraken
2021-05-10 20:54:37,BUY,XRP,163.94482000,EUR,187.24,EUR:2.81,Kraken
2021-05-11 21:11:12,SELL,XRP,163.94482,EUR,199.1200,EUR:2.95,Kraken
2021-05-11 21:21:39,SELL,EOS,147.1755,EUR,1624.2700,EUR:24.01,Kraken
2021-05-12 21:53:52,BUY,SHIB,9071205.0,USDT,203.194992,SHIB:-9071.21,Binance
2021-05-13 07:28:07,BUY,EOS,45.71,USDT,506.83248,EOS:-0.04571,Binance
2021-05-13 07:28:08,BUY,EOS,53.49,USDT,593.09712,EOS:-0.05349,Binance
2021-05-13 11:53:45,BUY,EOS,50.51,USDT,500.049,EOS:-0.05051,Binance
2021-05-19 20:44:12,BUY,EOS,21.41,USDT,130.601,EOS:-0.02141,Binance
2021-05-25 06:42:58,BUY,EOS,100.0000000000,EUR,472.7747,EUR:1.2292,Kraken
2021-05-25 08:18:12,BUY,DOGE,262.05517241,EUR,75.996,EUR:0.1216,Kraken
2021-05-25 10:27:00,BUY,ETH,0.1000000000,EUR,200.0,EUR:0.32,Kraken
2021-05-28 09:28:30,BUY,XRP,355.94257143,EUR,249.1598,EUR:0.3987,Kraken
2021-10-06 13:10:08,SELL,SHIB,9062133.0,USDT,208.429059,USDT:-0.20842906,Binance
2021-11-09 09:26:40,SELL,EOS,50.0,EUR,221.5500,EUR:3.28,Kraken
2021-11-09 09:27:51,SELL,ETH,0.05,EUR,207.7500,EUR:3.08,Kraken
2021-11-09 11:31:44,SELL,EOS,50.9,USDT,262.1859,USDT:-0.1725585;USDT:-0.0896274,Binance
2021-11-12 11:55:38,BUY,ADA,125.10826200,EUR,219.64,EUR:3.3,Kraken
2021-11-12 11:58:21,BUY,DOT,4.9838084100,EUR,197.04,EUR:2.96,Kraken
2021-11-12 13:08:16,BUY,ADA,130.3,USDT,261.903,ADA:-0.1303,Binance
2021-11-22 10:09:38,SELL,ADA,130.1,USDT,234.18,USDT:-0.23418,Binance
2022-01-10 13:27:29,BUY,ETH,0.037,USDT,114.7,ETH:-3.7e-05,Binance
2022-01-10 14:46:50,BUY,XRP,208.0,USDT,152.88,XRP:-0.208,Binance
2022-01-21 14:07:41,BUY,ADA,60.0,USDT,72.0,ADA:-0.06,Binance
2022-01-21 14:09:57,BUY,XRP,175.0,USDT,119.0,XRP:-0.175,Binance
2022-01-21 14:11:05,BUY,SOL,0.4,USDT,48.0,SOL:-0.0004,Binance
2022-01-24 12:06:49,BUY,ADA,56.7,USDT,56.7,ADA:-0.0567,Binance
2022-02-07 13:25:18,SELL,XRP,82.0,USDT,63.14,USDT:-0.06314,Binance
2022-02-08 08:15:37,SELL,XRP,100.0,USDT,91.0,USDT:-0.091,Binance
2022-02-11 21:05:54,BUY,SOL,0.5,USDT,50.0,SOL:-0.0005,Binance
2022-02-12 08:42:52,BUY,XRP,134.0,USDT,100.5,XRP:-0.134,Binance
2022-02-18 23:51:54,BUY,ALGO,57.0,USDT,50.7984,ALGO:-0.057,Binance
2024-11-30 10:14:45,SELL,ADA,62.554131,EUR,63.7900,EUR:0.63,Kraken
2024-11-30 12:12:52,SELL,ADA,58.3,USDT,63.8968,USDT:-0.0638968,Binance
2024-11-30 13:23:37,SELL,XRP,167.0,USDT,317.3,USDT:-0.3173,Binance
2024-11-30 19:11:57,SELL,XRP,177.97128,EUR,321.0600,EUR:4.74,Kraken
2024-12-03 20:36:08,SELL,XRP,44.49282,EUR,111.1800,EUR:1.64,Kraken
2024-12-06 03:26:01,SELL,SOL,0.449,USDT,110.005,USDT:-0.110005,Binance
2024-12-16 18:34:18,SELL,ETH,0.025,EUR,96.2500,EUR:1.42,Kraken
2024-12-19 18:21:26,BUY,ETH,0.0298621700,EUR,98.52,EUR:1.48,Kraken
2024-12-19 19:46:40,BUY,XRP,92.50821000,EUR,197.04,EUR:2.96,Kraken
2024-12-19 21:40:39,BUY,XRP,90.0,USDT,199.8,XRP:-0.09,Binance
2024-12-19 21:47:26,BUY,ETH,0.0288,USDT,97.924608,ETH:-2.88e-05,Binance
2024-12-19 22:10:05,BUY,ARB,196.5,USDT,149.34,ARB:-0.1965,Binance
2024-12-30 00:09:17,BUY,XRP,21.0,USDT,44.1,XRP:-0.021,Binance
2025-01-02 14:45:26,SELL,XRP,91.0,USDT,220.22,USDT:-0.22022,Binance
2025-01-03 14:22:53,SELL,XRP,92.50223,EUR,213.8100,EUR:2.12,Kraken
2025-01-11 11:52:50,SELL,XRP,44.81343,EUR,106.3800,EUR:1.57,Kraken
2025-01-11 13:51:12,SELL,XRP,64.0,USDT,155.84,USDT:-0.15584,Binance
2025-01-16 01:10:51,SELL,XRP,12.0,USDT,37.8,USDT:-0.0378,Binance
2025-01-16 12:23:50,SELL,XRP,32.18707,EUR,101.5000,EUR:1.5,Kraken
2025-01-16 14:51:42,SELL,XRP,31.0,USDT,102.3,USDT:-0.1023,Binance
2025-02-02 20:44:46,BUY,XRP,39.0,USDT,98.28,XRP:-0.039,Binance
2025-02-03 06:41:59,BUY,XRP,65.77587000,EUR,147.78,EUR:2.22,Kraken
2025-02-03 08:41:58,BUY,XRP,51.0,USDT,117.3,XRP:-0.051,Binance
2025-03-03 20:23:30,SELL,XRP,39.0,USDT,99.45,USDT:-0.09945,Binance
2025-03-09 20:01:26,BUY,XRP,47.0,USDT,98.7,XRP:-0.047,Binance
2025-03-14 04:57:01,SELL,XRP,47.0,USDT,108.1,USDT:-0.1081,Binance
2025-03-29 19:15:16,BUY,XRP,100.0,USDT,208.0,XRP:-0.1,Binance
2025-04-03 12:43:44,BUY,XRP,83.52731000,EUR,150.35,,Kraken
2025-05-08 08:37:00,BUY,XRP,50.0,USDC,108.5,XRP:-0.0475,Binance
2025-06-13 18:49:45,BUY,XRP,140.3,USDC,299.9614,XRP:-0.1403,Binance
2025-06-22 16:26:30,BUY,XRP,129.5,USDC,249.935,XRP:-0.1295,Binance
2025-07-11 14:52:03,SELL,XRP,50.0,USDC,133.5,USDC:-0.1335,Binance
2025-07-11 15:50:09,SELL,XRP,100.0,USDC,275.0,USDC:-0.275,Binance
2025-07-21 14:03:08,SELL,XRP,102.89356,EUR,317.0100,EUR:4.68,Kraken
2025-08-25 22:12:03,BUY,BTC,0.0009,USDC,99.0,BTC:-9e-07,Binance
2025-08-29 22:08:55,BUY,XRP,109.0,USDC,305.2,XRP:-0.109,Binance
2025-09-25 06:53:47,BUY,ETH,0.0729,USDC,291.6,ETH:-7.29e-05,Binance
2025-10-10 16:57:56,BUY,ETH,0.0232,USDC,99.992,ETH:-2.32e-05,Binance
2025-10-10 17:01:19,BUY,BTC,0.00166,USDC,199.698,BTC:-1.66e-06,Binance
2025-10-14 09:48:33,BUY,BTC,0.0024358500,EUR,235.0595,EUR:0.5877,Kraken
2025-10-14 10:29:27,BUY,ETH,0.0561470500,EUR,190.9,EUR:0.4773,Kraken
2025-10-14 10:32:23,BUY,XRP,68.18095238,EUR,143.18,EUR:0.358,Kraken
2025-11-04 02:29:58,BUY,XRP,29.2,USDC,67.16,XRP:-0.0292,Binance
2025-11-04 07:13:57,BUY,XRP,51.28205128,EUR,100.0,EUR:0.25,Kraken
