asset_id,asset_type,domain,metric,value,value_text,unit,data_as_of,retrieved_at,source,source_priority,confidence_pct,data_quality_pct,calculation_method,source_url
BTC,crypto,fundamental,fdv_mcap_ratio,1.0,,ratio,2026-07-20,2026-09-04T11:17:40Z,CoinGecko,2,,80,engine/crypto/README.md,
BTC,crypto,fundamental,fdv_mcap_ratio,1.0,,ratio,2026-09-04,2026-09-04T10:11:47Z,CoinGecko,2,,80,engine/crypto/README.md,
BTC,crypto,fundamental,market_cap_percentile_365d,11.0,,%,2026-07-20,2026-09-04T11:17:40Z,CoinGecko,2,,80,engine/crypto/README.md,
BTC,crypto,fundamental,market_cap_percentile_365d,33.3,,%,2026-09-04,2026-09-04T10:11:47Z,CoinGecko,2,,80,engine/crypto/README.md,
BTC,crypto,fundamental,supply_pct_of_max,95.5,,%,2026-07-20,2026-09-04T11:17:40Z,CoinGecko,2,,80,engine/crypto/README.md,
BTC,crypto,fundamental,supply_pct_of_max,95.6,,%,2026-09-04,2026-09-04T10:11:47Z,CoinGecko,2,,80,engine/crypto/README.md,
BTC,crypto,tecnico,atr14,2227.091556,,EUR,2026-01-01,2026-09-04T15:49:34Z,Coinbase,2,,,engine/technical/README.md,
BTC,crypto,tecnico,atr14,2242.286445,,EUR,2026-01-02,2026-09-04T15:49:34Z,Coinbase,2,,,engine/technical/README.md,
BTC,crypto,tecnico,atr14,2171.927413,,EUR,2026-01-03,2026-09-04T15:49:34Z,Coinbase,2,,,engine/technical/README.md,
BTC,crypto,tecnico,atr14,2087.254741,,EUR,2026-01-04,2026-09-04T15:49:34Z,Coinbase,2,,,engine/technical/README.md,
BTC,crypto,tecnico,atr14,2132.528688,,EUR,2026-01-05,2026-09-04T15:49:34Z,Coinbase,2,,,engine/technical/README.md,
BTC,crypto,tecnico,atr14,2175.562353,,EUR,2026-01-06,2026-09-04T15:49:34Z,Coinbase,2,,,engine/technical/README.md,
