asset_id,asset_type,domain,metric,value,value_text,unit,data_as_of,retrieved_at,source,source_priority,confidence_pct,data_quality_pct,calculation_method,source_url
DOT,crypto,fundamental,fdv_mcap_ratio,1.0,,ratio,2026-09-03,2026-09-03T11:40:59Z,CoinGecko,2,,45,engine/crypto/README.md,
DOT,crypto,fundamental,fdv_mcap_ratio,1.0,,ratio,2026-09-04,2026-09-04T10:11:47Z,CoinGecko,2,,45,engine/crypto/README.md,
DOT,crypto,fundamental,market_cap_percentile_365d,3.2,,%,2026-09-03,2026-09-03T11:40:59Z,CoinGecko,2,,45,engine/crypto/README.md,
DOT,crypto,fundamental,market_cap_percentile_365d,3.7,,%,2026-09-04,2026-09-04T10:11:47Z,CoinGecko,2,,45,engine/crypto/README.md,
DOT,crypto,fundamental,supply_pct_of_max,81.0,,%,2026-09-03,2026-09-03T11:40:59Z,CoinGecko,2,,45,engine/crypto/README.md,
DOT,crypto,fundamental,supply_pct_of_max,81.0,,%,2026-09-04,2026-09-04T10:11:47Z,CoinGecko,2,,45,engine/crypto/README.md,
DOT,crypto,tecnico,atr14,0.104558,,EUR,2026-01-01,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.109947,,EUR,2026-01-02,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.108522,,EUR,2026-01-03,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.105056,,EUR,2026-01-04,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.106124,,EUR,2026-01-05,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.107829,,EUR,2026-01-06,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.107984,,EUR,2026-01-07,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.105271,,EUR,2026-01-08,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.103466,,EUR,2026-01-09,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.099647,,EUR,2026-01-10,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.097529,,EUR,2026-01-11,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.09842,,EUR,2026-01-12,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.109247,,EUR,2026-01-13,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.107158,,EUR,2026-01-14,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.108075,,EUR,2026-01-15,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.105356,,EUR,2026-01-16,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.104973,,EUR,2026-01-17,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.105332,,EUR,2026-01-18,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.110666,,EUR,2026-01-19,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.113475,,EUR,2026-01-20,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.113227,,EUR,2026-01-21,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.109425,,EUR,2026-01-22,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.107323,,EUR,2026-01-23,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.1018,,EUR,2026-01-24,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.103815,,EUR,2026-01-25,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.099971,,EUR,2026-01-26,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.09783,,EUR,2026-01-27,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.093699,,EUR,2026-01-28,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.097006,,EUR,2026-01-29,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.094363,,EUR,2026-01-30,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.104051,,EUR,2026-01-31,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.103048,,EUR,2026-02-01,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.103544,,EUR,2026-02-02,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.104005,,EUR,2026-02-03,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.102291,,EUR,2026-02-04,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.108556,,EUR,2026-02-05,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.118659,,EUR,2026-02-06,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.114469,,EUR,2026-02-07,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.10915,,EUR,2026-02-08,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.105639,,EUR,2026-02-09,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.101665,,EUR,2026-02-10,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.098689,,EUR,2026-02-11,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.095211,,EUR,2026-02-12,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.09341,,EUR,2026-02-13,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.092452,,EUR,2026-02-14,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.092991,,EUR,2026-02-15,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.090635,,EUR,2026-02-16,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.087018,,EUR,2026-02-17,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.085088,,EUR,2026-02-18,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.081868,,EUR,2026-02-19,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.08102,,EUR,2026-02-20,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.078804,,EUR,2026-02-21,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.076747,,EUR,2026-02-22,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.075551,,EUR,2026-02-23,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.073011,,EUR,2026-02-24,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.09851,,EUR,2026-02-25,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
DOT,crypto,tecnico,atr14,0.10076,,EUR,2026-02-26,2026-09-04T15:50:42Z,Coinbase,2,,,engine/technical/README.md,
