asset_id,asset_type,domain,metric,value,value_text,unit,data_as_of,retrieved_at,source,source_priority,confidence_pct,data_quality_pct,calculation_method,source_url
ETH,crypto,fundamental,fdv_mcap_ratio,1.004,,ratio,2026-09-03,2026-09-03T11:40:58Z,CoinGecko,2,,80,engine/crypto/README.md,
ETH,crypto,fundamental,fdv_mcap_ratio,1.0,,ratio,2026-09-04,2026-09-04T10:11:47Z,CoinGecko,2,,80,engine/crypto/README.md,
ETH,crypto,fundamental,market_cap_percentile_365d,26.3,,%,2026-09-03,2026-09-03T11:40:58Z,CoinGecko,2,,80,engine/crypto/README.md,
ETH,crypto,fundamental,market_cap_percentile_365d,31.2,,%,2026-09-04,2026-09-04T10:11:47Z,CoinGecko,2,,80,engine/crypto/README.md,
ETH,crypto,fundamental,supply_pct_of_max,98.9,,%,2026-09-03,2026-09-03T11:40:58Z,CoinGecko,2,,80,engine/crypto/README.md,
ETH,crypto,fundamental,supply_pct_of_max,100.0,,%,2026-09-04,2026-09-04T10:11:47Z,CoinGecko,2,,80,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,45.9,,%,2026-01-01,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,48.3,,%,2026-01-02,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,52.1,,%,2026-01-03,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,53.8,,%,2026-01-04,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,54.5,,%,2026-01-05,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,57.5,,%,2026-01-06,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,58.8,,%,2026-01-07,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,54.8,,%,2026-01-08,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,51.8,,%,2026-01-09,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,50.0,,%,2026-01-10,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,51.8,,%,2026-01-11,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,52.8,,%,2026-01-12,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,50.8,,%,2026-01-13,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,58.9,,%,2026-01-14,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,59.8,,%,2026-01-15,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,58.3,,%,2026-01-16,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,58.5,,%,2026-01-17,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,59.0,,%,2026-01-18,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,56.4,,%,2026-01-19,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,56.0,,%,2026-01-20,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,47.0,,%,2026-01-21,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,48.3,,%,2026-01-22,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,48.1,,%,2026-01-23,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,47.8,,%,2026-01-24,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,49.1,,%,2026-01-25,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,44.8,,%,2026-01-26,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,48.3,,%,2026-01-27,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,50.8,,%,2026-01-28,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,51.2,,%,2026-01-29,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,45.1,,%,2026-01-30,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,41.9,,%,2026-01-31,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,34.5,,%,2026-02-01,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,29.4,,%,2026-02-02,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,31.1,,%,2026-02-03,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,29.5,,%,2026-02-04,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,26.7,,%,2026-02-05,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,15.8,,%,2026-02-06,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,21.7,,%,2026-02-07,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,24.6,,%,2026-02-08,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,25.2,,%,2026-02-09,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,25.2,,%,2026-02-10,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,23.0,,%,2026-02-11,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,21.5,,%,2026-02-12,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,20.6,,%,2026-02-13,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,23.3,,%,2026-02-14,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,23.7,,%,2026-02-15,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,21.2,,%,2026-02-16,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,21.5,,%,2026-02-17,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,21.5,,%,2026-02-18,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,18.7,,%,2026-02-19,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,19.0,,%,2026-02-20,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,18.1,,%,2026-02-21,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,18.5,,%,2026-02-22,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
ETH,crypto,fundamental,tvl_percentile_365d,18.6,,%,2026-02-23,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
