asset_id,asset_type,domain,metric,value,value_text,unit,data_as_of,retrieved_at,source,source_priority,confidence_pct,data_quality_pct,calculation_method,source_url
SOL,crypto,fundamental,fdv_mcap_ratio,1.082,,ratio,2026-09-03,2026-09-03T11:40:58Z,CoinGecko,2,,80,engine/crypto/README.md,
SOL,crypto,fundamental,fdv_mcap_ratio,1.082,,ratio,2026-09-04,2026-09-04T10:11:47Z,CoinGecko,2,,80,engine/crypto/README.md,
SOL,crypto,fundamental,market_cap_percentile_365d,22.6,,%,2026-09-03,2026-09-03T11:40:58Z,CoinGecko,2,,80,engine/crypto/README.md,
SOL,crypto,fundamental,market_cap_percentile_365d,25.3,,%,2026-09-04,2026-09-04T10:11:47Z,CoinGecko,2,,80,engine/crypto/README.md,
SOL,crypto,fundamental,supply_pct_of_max,92.4,,%,2026-09-03,2026-09-03T11:40:58Z,CoinGecko,2,,80,engine/crypto/README.md,
SOL,crypto,fundamental,supply_pct_of_max,92.4,,%,2026-09-04,2026-09-04T10:11:47Z,CoinGecko,2,,80,engine/crypto/README.md,
SOL,crypto,fundamental,tvl_percentile_365d,29.4,,%,2026-01-01,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
SOL,crypto,fundamental,tvl_percentile_365d,42.3,,%,2026-01-02,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
SOL,crypto,fundamental,tvl_percentile_365d,34.2,,%,2026-01-03,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
SOL,crypto,fundamental,tvl_percentile_365d,35.3,,%,2026-01-04,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
SOL,crypto,fundamental,tvl_percentile_365d,36.4,,%,2026-01-05,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
SOL,crypto,fundamental,tvl_percentile_365d,39.3,,%,2026-01-06,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
SOL,crypto,fundamental,tvl_percentile_365d,40.6,,%,2026-01-07,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
SOL,crypto,fundamental,tvl_percentile_365d,37.6,,%,2026-01-08,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
SOL,crypto,fundamental,tvl_percentile_365d,38.6,,%,2026-01-09,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
SOL,crypto,fundamental,tvl_percentile_365d,37.3,,%,2026-01-10,2026-09-04T14:24:27Z,DefiLlama,2,,,engine/crypto/README.md,
